Province,anomaly
BC,5.3175488590989275
YT,-4.86780618656026
NT,-7.945017930678479
NU,-14.000741044495118
AB,1.6454205124723729
SK,0.4848375566593992
MB,-0.31037542246282945
ON,3.3603545337201908
QC,1.4374174464984242
NB,3.908843239145769
NS,5.465088034892314
PE,4.516520308609608
NL,0.9879100930996814
