Year,Value,Uncertainty
1979,336.79146041666667,0.3106625
1980,338.7892375,0.20858541666666666
1981,339.99139583333334,0.22934375
1982,340.7557791666667,0.15537916666666668
1983,342.4235229166667,0.21297708333333334
1984,343.9656645833333,0.23647916666666666
1985,345.4589875,0.22678541666666666
1986,346.88291875,0.2716625
1987,348.6045375,0.3096479166666667
1988,351.15324166666664,0.25650416666666664
1989,352.80664583333333,0.25600208333333335
1990,353.9843125,0.2521041666666667
1991,355.3034125,0.23851875
1992,355.98749375,0.23588541666666668
1993,356.71888333333334,0.2615645833333333
1994,358.18935,0.2572333333333333
1995,360.02869166666665,0.20992916666666667
1996,361.79845,0.19485833333333333
1997,362.8947645833333,0.20657083333333334
1998,365.53453958333336,0.20213125
1999,367.6398229166667,0.25251250000000003
2000,368.83586875,0.25462083333333335
2001,370.39358541666667,0.21558125
2002,372.4057291666667,0.20035
2003,374.96130625,0.19065416666666668
2004,376.76826458333335,0.19974375
2005,378.78656875,0.20607708333333333
2006,380.94646458333335,0.19161875
2007,382.6685541666667,0.19092083333333335
2008,384.7798583333333,0.18852083333333333
2009,386.2708125,0.20487083333333334
2010,388.54696666666666,0.25295625
2011,390.46079583333335,0.23750208333333334
2012,392.44413125,0.25505833333333333
2013,395.16769375,0.25586875
2014,397.09886875,0.21202708333333334
2015,399.38039791666665,0.20801458333333334
2016,402.80893541666666,0.21144375
2017,405.0068612244898,0.23935714285714285
